"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"20968",NA,5,"5","3","3","5",1,434.741
"20969",NA,5,"5","3","3","6",1,13.531
"20970",NA,5,"5","8","2","3",1,181.706
"20971",NA,5,"5","8","2","4",1,424.069
"20972",NA,5,"5","8","2","5",1,78.177
"20973",NA,5,"5","8","2","7",1,39.088
"20974",NA,5,"5","8","3","4",1,96.936
"20975",NA,5,"5","8","3","5",1,201.794
"20976",NA,5,"5","8","3","6",1,121.825
"20977",NA,5,"5","9","2","5",1,279.601
"20978",NA,5,"6","1","1","3",1,451.227
"20979",NA,5,"6","1","1","4",1,721.767
"20980",NA,5,"6","1","1","5",1,193.405
"20981",NA,5,"6","1","1","6",1,30.264
"20982",NA,5,"6","2","1","2",2,382.908
"20983",NA,5,"6","2","1","3",1,2525.234
"20984",NA,5,"6","2","1","3",2,329.366
"20985",NA,5,"6","2","1","4",1,4132.741
"20986",NA,5,"6","2","1","4",2,437.565
"20987",NA,5,"6","2","1","5",1,5413.309
"20988",NA,5,"6","2","1","6",1,918.844
"20989",NA,5,"6","2","1","7",1,134.668
"20990",NA,5,"6","2","2","3",1,17.097
"20991",NA,5,"6","2","2","4",1,126.865
"20992",NA,5,"6","2","2","5",1,221.981
"20993",NA,5,"6","2","2","5",2,165.247
"20994",NA,5,"6","2","2","7",1,32.079
"20995",NA,5,"6","3","3","2",1,23.347
"20996",NA,5,"6","3","3","2",2,30.525
"20997",NA,5,"6","3","3","3",1,696.406
"20998",NA,5,"6","3","3","3",2,341.784
"20999",NA,5,"6","3","3","4",1,2846.883
"21000",NA,5,"6","3","3","4",2,253.3
"21001",NA,5,"6","3","3","5",1,2812.926
"21002",NA,5,"6","3","3","5",2,615.153
"21003",NA,5,"6","3","3","6",1,335.453
"21004",NA,5,"6","3","3","7",1,224.146
"21005",NA,5,"6","5","2","3",1,800.527
"21006",NA,5,"6","5","2","4",1,421.029
"21007",NA,5,"6","5","2","4",2,149.723
"21008",NA,5,"6","5","2","5",1,970.585
"21009",NA,5,"6","5","2","6",1,296.197
"21010",NA,5,"6","5","3","5",2,117.571
"21011",NA,5,"6","6","2","4",1,123.249
"21012",NA,5,"6","6","2","4",2,47.577
"21013",NA,5,"6","7","1","3",1,1234.226
"21014",NA,5,"6","7","1","4",1,2852.492
"21015",NA,5,"6","7","1","5",1,1821.1
"21016",NA,5,"6","7","1","6",1,651.296
"21017",NA,5,"6","7","2","3",1,3002.726
"21018",NA,5,"6","7","2","3",2,158.502
"21019",NA,5,"6","7","2","4",1,4360.841
"21020",NA,5,"6","7","2","4",2,302.836
"21021",NA,5,"6","7","2","5",1,6232.484
"21022",NA,5,"6","7","2","6",1,2115.791
"21023",NA,5,"6","7","2","7",1,22.294
"21024",NA,5,"6","7","3","2",1,246.878
"21025",NA,5,"6","7","3","3",1,2669.817
"21026",NA,5,"6","7","3","3",2,191.575
"21027",NA,5,"6","7","3","4",1,3765.258
"21028",NA,5,"6","7","3","5",1,6013.236
"21029",NA,5,"6","7","3","5",2,152.584
"21030",NA,5,"6","7","3","6",1,755.949
"21031",NA,5,"6","8","2","2",1,214.415
"21032",NA,5,"6","8","2","3",1,2267.077
"21033",NA,5,"6","8","2","4",1,2349.767
"21034",NA,5,"6","8","2","5",1,2192.081
"21035",NA,5,"6","8","2","6",1,153.55
"21036",NA,5,"6","8","2","7",1,134.347
"21037",NA,5,"6","8","3","3",1,328.516
"21038",NA,5,"6","8","3","5",1,184.849
"21039",NA,5,"6","9","2","3",2,56.067
"21040",NA,5,"6","9","2","5",1,247.668
"21041",NA,5,"7","1","1","4",1,296.764
"21042",NA,5,"7","1","1","5",1,40.721
"21043",NA,5,"7","1","2","2",1,542.555
"21044",NA,5,"7","1","2","5",1,767.908
"21045",NA,5,"7","2","1","2",1,346.785
"21046",NA,5,"7","2","1","3",1,2831.806
"21047",NA,5,"7","2","1","3",2,2332.156
"21048",NA,5,"7","2","1","4",1,1679.691
"21049",NA,5,"7","2","1","4",2,2112.953
"21050",NA,5,"7","2","1","5",1,1105.974
"21051",NA,5,"7","2","1","5",2,4324.79
"21052",NA,5,"7","2","1","6",1,1143.457
"21053",NA,5,"7","2","1","6",2,1017.704
"21054",NA,5,"7","2","1","7",1,1077.191
"21055",NA,5,"7","2","1","7",2,826.417
"21056",NA,5,"7","2","2","2",1,291.476
"21057",NA,5,"7","2","2","3",1,2153.653
"21058",NA,5,"7","2","2","3",2,200.499
"21059",NA,5,"7","2","2","4",1,9285.129
"21060",NA,5,"7","2","2","4",2,1337.02
"21061",NA,5,"7","2","2","5",1,7155.558
"21062",NA,5,"7","2","2","5",2,257.422
"21063",NA,5,"7","2","2","6",1,1601.355
"21064",NA,5,"7","2","2","7",1,206.056
"21065",NA,5,"7","3","2","4",2,36.897
"21066",NA,5,"7","3","3","2",1,353.31
"21067",NA,5,"7","3","3","2",2,751.047
"21068",NA,5,"7","3","3","3",1,5615.345
"21069",NA,5,"7","3","3","3",2,4544.845
"21070",NA,5,"7","3","3","4",1,9737.697
"21071",NA,5,"7","3","3","4",2,2616.898
"21072",NA,5,"7","3","3","5",1,9128.823
"21073",NA,5,"7","3","3","5",2,3351.509
"21074",NA,5,"7","3","3","6",1,1960.643
"21075",NA,5,"7","3","3","6",2,887.689
"21076",NA,5,"7","3","3","7",1,338.706
"21077",NA,5,"7","3","3","7",2,434.231
"21078",NA,5,"7","4","2","3",2,244.706
"21079",NA,5,"7","5","2","2",1,355.506
"21080",NA,5,"7","5","2","3",1,6160.218
"21081",NA,5,"7","5","2","3",2,217.853
"21082",NA,5,"7","5","2","4",1,15209.116
"21083",NA,5,"7","5","2","4",2,1435.823
"21084",NA,5,"7","5","2","5",1,9643.859
"21085",NA,5,"7","5","2","5",2,175.723
"21086",NA,5,"7","5","2","6",1,2176.112
"21087",NA,5,"7","5","2","6",2,532.604
"21088",NA,5,"7","5","2","7",1,172.314
"21089",NA,5,"7","5","3","1",2,282.467
"21090",NA,5,"7","5","3","2",1,8613.72
"21091",NA,5,"7","5","3","2",2,7614.766
"21092",NA,5,"7","5","3","3",1,41303.824
"21093",NA,5,"7","5","3","3",2,27818.684
"21094",NA,5,"7","5","3","4",1,47566.359
"21095",NA,5,"7","5","3","4",2,25054.555
"21096",NA,5,"7","5","3","5",1,46466.77
"21097",NA,5,"7","5","3","5",2,15711.444
"21098",NA,5,"7","5","3","6",1,15127.605
"21099",NA,5,"7","5","3","6",2,2472.151
"21100",NA,5,"7","5","3","7",1,1475.093
"21101",NA,5,"7","5","3","7",2,219.654
"21102",NA,5,"7","7","1","3",1,57.134
"21103",NA,5,"7","7","1","5",1,140.701
"21104",NA,5,"7","7","2","2",1,739.705
"21105",NA,5,"7","7","2","2",2,280.225
"21106",NA,5,"7","7","2","3",1,1583.314
"21107",NA,5,"7","7","2","3",2,216.47
"21108",NA,5,"7","7","2","4",1,2958.872
"21109",NA,5,"7","7","2","4",2,358.197
"21110",NA,5,"7","7","2","5",1,1735.857
"21111",NA,5,"7","7","2","5",2,987.681
"21112",NA,5,"7","7","2","6",1,363.583
"21113",NA,5,"7","7","3","3",1,61.462
"21114",NA,5,"7","7","3","4",1,441.544
"21115",NA,5,"7","7","3","5",1,514.955
"21116",NA,5,"7","7","3","6",1,124.648
"21117",NA,5,"7","8","2","3",1,350.763
"21118",NA,5,"7","8","2","4",1,1014.07
"21119",NA,5,"7","8","2","5",1,1214.584
"21120",NA,5,"7","8","2","6",1,558.188
"21121",NA,5,"7","8","2","7",1,38.552
"21122",NA,5,"7","8","3","4",1,192.458
"21123",NA,5,"7","9","2","2",1,579.304
"21124",NA,5,"7","9","2","3",1,735.908
"21125",NA,5,"7","9","2","3",2,338.63
"21126",NA,5,"7","9","2","4",1,1310.153
"21127",NA,5,"7","9","2","4",2,1397.509
"21128",NA,5,"7","9","2","5",1,2288.18
"21129",NA,5,"7","9","2","5",2,608.372
"21130",NA,5,"7","9","2","6",1,68.74
"21131",NA,5,"7","9","2","7",1,56.344
"21132",NA,5,"7","9","3","2",1,390.294
"21133",NA,5,"7","9","3","3",1,1828.399
"21134",NA,5,"7","9","3","3",2,41.648
"21135",NA,5,"7","9","3","4",1,2512.541
"21136",NA,5,"7","9","3","5",1,2364.686
"21137",NA,5,"7","9","3","5",2,278.233
"21138",NA,5,"7","9","3","6",1,759.533
"21139",NA,5,"7","9","3","7",1,19.483
"21140",NA,5,"8","1","2","4",1,295.225
"21141",NA,5,"8","1","2","5",1,261.362
