"","IndustryGroup","JobGroup","RiskGroup","V20","V21","sum_Employment"
"3158","7","8","2",467,873,8646.106
"3159","7","8","2",467,874,1934.84
"3160","7","8","2",467,875,972.996
"3161","7","8","2",467,882,752.434
"3162","7","8","2",468,873,1283.569
"3163","7","8","2",468,874,304.629
"3164","7","8","2",471,873,901.263
"3165","7","8","2",472,873,779.775
"3166","7","8","2",474,874,184.938
"3167","7","8","2",475,873,2322.319
"3168","7","8","2",477,873,901.558
"3169","7","8","2",478,873,467.321
"3170","7","8","2",479,873,63.265
"3171","7","8","3",461,852,19.044
"3172","7","8","3",461,899,63.192
"3173","7","8","3",462,899,204.512
"3174","7","8","3",463,862,130.282
"3175","7","8","3",463,899,574.968
"3176","7","8","3",464,832,806.983
"3177","7","8","3",464,891,298.461
"3178","7","8","3",464,899,339.208
"3179","7","8","3",465,841,72.636
"3180","7","8","3",465,863,464.996
"3181","7","8","3",465,864,394.831
"3182","7","8","3",466,831,60.706
"3183","7","8","3",466,843,324.258
"3184","7","8","3",466,854,41.065
"3185","7","8","3",467,832,730.294
"3186","7","8","3",467,841,216.788
"3187","7","8","3",467,851,1455.068
"3188","7","8","3",467,862,119.181
"3189","7","8","3",467,864,317.476
"3190","7","8","3",467,899,340.585
"3191","7","8","3",471,852,530.069
"3192","7","8","3",471,862,4052.833
"3193","7","8","3",472,899,64.06
"3194","7","8","3",475,891,1186.09
"3195","7","8","3",475,899,62.547
"3196","7","8","3",476,855,71.312
"3197","7","8","3",477,843,28.103
"3198","7","9","2",451,941,412.5
"3199","7","9","2",451,942,488.889
"3200","7","9","2",452,921,196.243
"3201","7","9","2",452,941,535.61
"3202","7","9","2",461,921,718.8
"3203","7","9","2",461,930,156.222
"3204","7","9","2",461,941,233.958
"3205","7","9","2",461,953,1155.643
"3206","7","9","2",461,991,65.857
"3207","7","9","2",462,930,42.344
"3208","7","9","2",462,953,357.324
"3209","7","9","2",462,991,52.064
"3210","7","9","2",463,921,4035.171
"3211","7","9","2",463,930,2700.722
"3212","7","9","2",463,941,759.106
"3213","7","9","2",463,942,213.772
"3214","7","9","2",463,953,23416.258
"3215","7","9","2",463,991,322.027
"3216","7","9","2",464,930,569.485
"3217","7","9","2",464,941,590.589
"3218","7","9","2",464,942,526.619
"3219","7","9","2",464,953,6030.093
"3220","7","9","2",465,921,216.54
"3221","7","9","2",465,941,210.644
"3222","7","9","2",465,942,125.353
"3223","7","9","2",465,953,26.129
"3224","7","9","2",466,910,100.397
"3225","7","9","2",466,921,71.78
"3226","7","9","2",466,941,354.71
"3227","7","9","2",466,953,403.981
"3228","7","9","2",467,910,126.752
"3229","7","9","2",467,921,359.915
"3230","7","9","2",467,930,172.499
"3231","7","9","2",467,941,69513.168
"3232","7","9","2",467,942,582.633
"3233","7","9","2",467,953,2044.095
"3234","7","9","2",467,999,3414.105
"3235","7","9","2",468,921,369.351
"3236","7","9","2",468,941,224.372
"3237","7","9","2",468,953,1267.694
"3238","7","9","2",471,921,539.248
"3239","7","9","2",471,941,6082.531
"3240","7","9","2",471,942,435.474
"3241","7","9","2",471,951,154.154
"3242","7","9","2",471,953,55630.876
"3243","7","9","2",472,930,34.546
"3244","7","9","2",472,941,86.026
"3245","7","9","2",472,953,4647.273
"3246","7","9","2",473,921,466.12
"3247","7","9","2",473,941,714.906
"3248","7","9","2",473,942,413.89
"3249","7","9","2",473,953,786.134
"3250","7","9","2",473,999,696.357
"3251","7","9","2",474,921,98.834
"3252","7","9","2",474,941,467.644
"3253","7","9","2",474,953,686.117
"3254","7","9","2",475,910,1003.092
"3255","7","9","2",475,930,27.314
"3256","7","9","2",475,941,331.343
"3257","7","9","2",475,953,1001.945
"3258","7","9","2",476,930,517.94
"3259","7","9","2",476,941,111.811
"3260","7","9","2",476,953,1290.45
"3261","7","9","2",476,999,331.559
"3262","7","9","2",477,941,1397.216
"3263","7","9","2",477,942,171.093
"3264","7","9","2",477,953,39946.835
"3265","7","9","2",478,921,199.869
"3266","7","9","2",478,930,153.042
"3267","7","9","2",478,941,1890.915
"3268","7","9","2",478,953,825.401
"3269","7","9","2",478,991,100.609
"3270","7","9","2",478,999,195.422
"3271","7","9","2",479,930,519.964
"3272","7","9","2",479,941,604.955
"3273","7","9","2",479,953,7993.091
"3274","7","9","2",479,999,3818.189
"3275","7","9","3",451,922,168.956
"3276","7","9","3",451,992,186.219
"3277","7","9","3",452,922,2684.721
"3278","7","9","3",453,922,56.775
"3279","7","9","3",461,922,563.229
"3280","7","9","3",462,922,1550.609
"3281","7","9","3",463,922,38506.279
"3282","7","9","3",463,952,52.456
"3283","7","9","3",463,992,93.391
"3284","7","9","3",464,922,7184.139
"3285","7","9","3",465,922,2002.956
"3286","7","9","3",466,922,2465.279
"3287","7","9","3",467,922,3133.995
"3288","7","9","3",468,922,277.602
"3289","7","9","3",471,922,13238.033
"3290","7","9","3",471,952,1505.304
"3291","7","9","3",471,992,3128.161
"3292","7","9","3",472,922,8577.447
"3293","7","9","3",472,952,1003.881
"3294","7","9","3",473,922,785.669
"3295","7","9","3",474,922,376.12
