"","V20","EduGroup","RiskGroup","sum_Employment"
"302",131,5,"2",283.32
"303",131,5,"3",1181.829
"304",131,6,"3",39.751
"305",132,0,"2",87.975
"306",132,1,"2",2756.349
"307",132,1,"3",2077.435
"308",132,2,"2",6678.066
"309",132,2,"3",4016.806
"310",132,3,"1",226.188
"311",132,3,"2",17232.906
"312",132,3,"3",13311.018
"313",132,4,"2",1901.842
"314",132,4,"3",3861.318
"315",132,5,"1",1613.399
"316",132,5,"2",3208.631
"317",132,5,"3",7457.782
"318",132,6,"2",37.025
"319",132,6,"3",770.755
"320",133,1,"2",463.588
"321",133,1,"3",370.663
"322",133,2,"3",397.33
"323",133,3,"2",212.621
"324",133,3,"3",1564.351
"325",133,4,"2",46.516
"326",133,4,"3",541.452
"327",133,5,"2",305.031
"328",133,5,"3",266.889
"329",134,1,"2",425.332
"330",134,1,"3",590.582
"331",134,2,"2",842.702
"332",134,2,"3",2707.061
"333",134,3,"1",244.333
"334",134,3,"2",4244.375
"335",134,3,"3",14184.313
"336",134,4,"1",226.757
"337",134,4,"2",492.235
"338",134,4,"3",3596.943
"339",134,5,"1",978.005
"340",134,5,"2",1123.777
"341",134,5,"3",2817.642
"342",139,0,"2",604.734
"343",139,1,"1",155.24
"344",139,1,"2",1312.682
"345",139,1,"3",586.163
"346",139,2,"2",3472.252
"347",139,2,"3",2743.81
"348",139,3,"2",3986.491
"349",139,3,"3",6696.093
"350",139,4,"2",539.204
"351",139,4,"3",1301.935
"352",139,5,"1",377.852
"353",139,5,"2",1519.792
"354",139,5,"3",3307.907
"355",139,6,"2",188.88
"356",141,0,"2",352.218
"357",141,1,"2",16346.154
"358",141,1,"3",1693.543
"359",141,2,"1",84.011
"360",141,2,"2",36041.923
"361",141,2,"3",2739.194
"362",141,3,"1",1239.937
"363",141,3,"2",68786.89
"364",141,3,"3",15773.109
"365",141,4,"1",7099.949
"366",141,4,"2",4866.729
"367",141,4,"3",5113.161
"368",141,5,"1",9916.12
"369",141,5,"2",6456.362
"370",141,5,"3",9530.424
"371",141,6,"1",323.553
"372",141,6,"3",756.355
"373",142,1,"2",204.75
"374",142,3,"2",656.724
"375",142,3,"3",619.065
"376",142,4,"2",349.856
"377",142,4,"3",237.701
"378",142,5,"1",212.981
"379",142,5,"3",658.869
"380",143,1,"2",510.528
"381",143,1,"3",673.709
"382",143,2,"2",1514.061
"383",143,2,"3",431.061
"384",143,3,"1",238.549
"385",143,3,"2",1791.945
"386",143,3,"3",1820.597
"387",143,4,"2",476.582
"388",143,4,"3",673.653
"389",143,5,"1",94.491
"390",144,0,"2",320.316
"391",144,1,"2",2352.626
"392",144,2,"2",3985.549
"393",144,2,"3",1572.181
"394",144,3,"1",298.54
"395",144,3,"2",7982.8
"396",144,3,"3",2751.637
"397",144,4,"2",353.72
"398",144,4,"3",690.221
"399",144,5,"2",822.827
"400",144,5,"3",571.421
"401",151,0,"2",218.971
"402",151,1,"2",726.059
"403",151,1,"3",439.287
"404",151,2,"1",60.4
"405",151,2,"2",6010.887
"406",151,2,"3",638.632
"407",151,3,"2",8069.569
"408",151,3,"3",3651.011
"409",151,4,"1",699.236
"410",151,4,"2",1351.531
"411",151,4,"3",735.462
"412",151,5,"1",749.948
"413",151,5,"2",1911.044
"414",151,5,"3",897.556
"415",152,0,"2",193.219
"416",152,1,"2",3235.138
"417",152,1,"3",887.412
"418",152,2,"2",3498.428
"419",152,2,"3",1509.568
"420",152,3,"1",474.375
"421",152,3,"2",9181.49
"422",152,3,"3",3287.776
"423",152,4,"1",986.65
"424",152,4,"2",681.457
"425",152,4,"3",944.058
"426",152,5,"1",1638.144
"427",152,5,"2",630.677
"428",152,5,"3",2752.565
"429",152,6,"3",374.163
"430",161,0,"2",162.755
